acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=35.0000, pre=36.9120, rec=35.0000, f1=0.2269, kap=0.0250
acc=50.0000, pre=54.8715, rec=50.0000, f1=0.4667, kap=0.2500
acc=50.8333, pre=63.5792, rec=50.8333, f1=0.5013, kap=0.2625
acc=45.0000, pre=52.6670, rec=45.0000, f1=0.4378, kap=0.1750
acc=60.8333, pre=59.9773, rec=60.8333, f1=0.5998, kap=0.4125
acc=65.0000, pre=68.2137, rec=65.0000, f1=0.6538, kap=0.4750
acc=74.1667, pre=78.1855, rec=74.1667, f1=0.7381, kap=0.6125
acc=76.6667, pre=78.8413, rec=76.6667, f1=0.7635, kap=0.6500
acc=74.1667, pre=76.6114, rec=74.1667, f1=0.7447, kap=0.6125
acc=68.3333, pre=72.5967, rec=68.3333, f1=0.6896, kap=0.5250
acc=60.8333, pre=69.6017, rec=60.8333, f1=0.5992, kap=0.4125
acc=50.8333, pre=53.5052, rec=50.8333, f1=0.4794, kap=0.2625
acc=63.3333, pre=70.1535, rec=63.3333, f1=0.6347, kap=0.4500
acc=70.8333, pre=74.5699, rec=70.8333, f1=0.7045, kap=0.5625
acc=65.0000, pre=71.8939, rec=65.0000, f1=0.6516, kap=0.4750
acc=66.6667, pre=71.1111, rec=66.6667, f1=0.6705, kap=0.5000
acc=55.8333, pre=61.7310, rec=55.8333, f1=0.5653, kap=0.3375
acc=62.5000, pre=67.0133, rec=62.5000, f1=0.6249, kap=0.4375
acc=65.8333, pre=68.8007, rec=65.8333, f1=0.6494, kap=0.4875
acc=63.3333, pre=70.3030, rec=63.3333, f1=0.6357, kap=0.4500
acc=66.6667, pre=72.8590, rec=66.6667, f1=0.6679, kap=0.5000
acc=67.5000, pre=73.0145, rec=67.5000, f1=0.6822, kap=0.5125
acc=71.6667, pre=74.8965, rec=71.6667, f1=0.7221, kap=0.5750
acc=70.0000, pre=74.4130, rec=70.0000, f1=0.7007, kap=0.5500
acc=67.5000, pre=69.7586, rec=67.5000, f1=0.6801, kap=0.5125
acc=70.8333, pre=73.4722, rec=70.8333, f1=0.7140, kap=0.5625
acc=73.3333, pre=75.1910, rec=73.3333, f1=0.7355, kap=0.6000
acc=75.0000, pre=78.9907, rec=75.0000, f1=0.7502, kap=0.6250
acc=75.0000, pre=80.1632, rec=75.0000, f1=0.7512, kap=0.6250
acc=79.1667, pre=82.3280, rec=79.1667, f1=0.7915, kap=0.6875
acc=71.6667, pre=76.7842, rec=71.6667, f1=0.7169, kap=0.5750
acc=70.0000, pre=75.0121, rec=70.0000, f1=0.7028, kap=0.5500
acc=75.0000, pre=79.8973, rec=75.0000, f1=0.7484, kap=0.6250
acc=72.5000, pre=76.8210, rec=72.5000, f1=0.7288, kap=0.5875
acc=70.8333, pre=76.4310, rec=70.8333, f1=0.7087, kap=0.5625
acc=65.8333, pre=74.1303, rec=65.8333, f1=0.6552, kap=0.4875
acc=60.8333, pre=67.4690, rec=60.8333, f1=0.6005, kap=0.4125
acc=63.3333, pre=66.0076, rec=63.3333, f1=0.6254, kap=0.4500
acc=63.3333, pre=73.0159, rec=63.3333, f1=0.6241, kap=0.4500
acc=66.6667, pre=68.7732, rec=66.6667, f1=0.6661, kap=0.5000
acc=66.6667, pre=74.6998, rec=66.6667, f1=0.6625, kap=0.5000
acc=60.0000, pre=66.8490, rec=60.0000, f1=0.5995, kap=0.4000
acc=61.6667, pre=65.2910, rec=61.6667, f1=0.6104, kap=0.4250
acc=64.1667, pre=68.9061, rec=64.1667, f1=0.6392, kap=0.4625
acc=66.6667, pre=70.8682, rec=66.6667, f1=0.6642, kap=0.5000
acc=70.8333, pre=72.0915, rec=70.8333, f1=0.7085, kap=0.5625
acc=75.8333, pre=78.5065, rec=75.8333, f1=0.7585, kap=0.6375
acc=65.0000, pre=67.3548, rec=65.0000, f1=0.6508, kap=0.4750
acc=67.5000, pre=69.0236, rec=67.5000, f1=0.6794, kap=0.5125
acc=70.0000, pre=73.2960, rec=70.0000, f1=0.7036, kap=0.5500
acc=61.6667, pre=69.6093, rec=61.6667, f1=0.6164, kap=0.4250
acc=65.8333, pre=70.9784, rec=65.8333, f1=0.6596, kap=0.4875
acc=63.3333, pre=69.0756, rec=63.3333, f1=0.6367, kap=0.4500
acc=57.5000, pre=62.1569, rec=57.5000, f1=0.5813, kap=0.3625
acc=56.6667, pre=62.3159, rec=56.6667, f1=0.5724, kap=0.3500
acc=57.5000, pre=63.2997, rec=57.5000, f1=0.5809, kap=0.3625
acc=55.0000, pre=55.1594, rec=55.0000, f1=0.5498, kap=0.3250
acc=66.6667, pre=68.4332, rec=66.6667, f1=0.6708, kap=0.5000
acc=67.5000, pre=69.2479, rec=67.5000, f1=0.6768, kap=0.5125
acc=66.6667, pre=68.4649, rec=66.6667, f1=0.6695, kap=0.5000
acc=66.6667, pre=68.4649, rec=66.6667, f1=0.6695, kap=0.5000
acc=65.0000, pre=66.9110, rec=65.0000, f1=0.6549, kap=0.4750
acc=65.8333, pre=67.6980, rec=65.8333, f1=0.6621, kap=0.4875
acc=64.1667, pre=66.1922, rec=64.1667, f1=0.6474, kap=0.4625
acc=64.1667, pre=66.4269, rec=64.1667, f1=0.6476, kap=0.4625
acc=62.5000, pre=65.1537, rec=62.5000, f1=0.6317, kap=0.4375
acc=63.3333, pre=65.7158, rec=63.3333, f1=0.6400, kap=0.4500
acc=65.0000, pre=67.4594, rec=65.0000, f1=0.6557, kap=0.4750
acc=63.3333, pre=65.9772, rec=63.3333, f1=0.6400, kap=0.4500
acc=64.1667, pre=66.4565, rec=64.1667, f1=0.6478, kap=0.4625
acc=64.1667, pre=66.7744, rec=64.1667, f1=0.6480, kap=0.4625
acc=64.1667, pre=66.6667, rec=64.1667, f1=0.6476, kap=0.4625
acc=64.1667, pre=66.6667, rec=64.1667, f1=0.6476, kap=0.4625
acc=64.1667, pre=66.5786, rec=64.1667, f1=0.6484, kap=0.4625
acc=63.3333, pre=65.8948, rec=63.3333, f1=0.6407, kap=0.4500
acc=65.0000, pre=67.3977, rec=65.0000, f1=0.6565, kap=0.4750
acc=65.8333, pre=68.0784, rec=65.8333, f1=0.6642, kap=0.4875
acc=65.0000, pre=67.4594, rec=65.0000, f1=0.6557, kap=0.4750
acc=65.0000, pre=67.4594, rec=65.0000, f1=0.6557, kap=0.4750
acc=65.0000, pre=67.4836, rec=65.0000, f1=0.6557, kap=0.4750
acc=65.8333, pre=68.1069, rec=65.8333, f1=0.6641, kap=0.4875
acc=65.0000, pre=66.8759, rec=65.0000, f1=0.6552, kap=0.4750
acc=65.0000, pre=66.8759, rec=65.0000, f1=0.6552, kap=0.4750
acc=66.6667, pre=68.2299, rec=66.6667, f1=0.6713, kap=0.5000
acc=65.8333, pre=67.9175, rec=65.8333, f1=0.6644, kap=0.4875
acc=65.0000, pre=67.3032, rec=65.0000, f1=0.6562, kap=0.4750
acc=65.8333, pre=67.7029, rec=65.8333, f1=0.6632, kap=0.4875
acc=65.0000, pre=66.8759, rec=65.0000, f1=0.6552, kap=0.4750
acc=65.0000, pre=66.9937, rec=65.0000, f1=0.6556, kap=0.4750
acc=64.1667, pre=66.5070, rec=64.1667, f1=0.6481, kap=0.4625
acc=65.0000, pre=66.9937, rec=65.0000, f1=0.6556, kap=0.4750
acc=65.8333, pre=67.7029, rec=65.8333, f1=0.6632, kap=0.4875
