acc=25.8333, pre=23.3862, rec=30.5060, f1=0.1724, kap=-0.0325
acc=40.8333, pre=64.9051, rec=40.3274, f1=0.3476, kap=0.1213
acc=54.1667, pre=68.1624, rec=51.1905, f1=0.5067, kap=0.2912
acc=56.6667, pre=63.9276, rec=54.3155, f1=0.5540, kap=0.3299
acc=61.6667, pre=64.5341, rec=57.8869, f1=0.5856, kap=0.3931
acc=65.0000, pre=71.1468, rec=65.6250, f1=0.6608, kap=0.4710
acc=70.0000, pre=71.4874, rec=68.3036, f1=0.6909, kap=0.5325
acc=73.3333, pre=76.9882, rec=74.7024, f1=0.7416, kap=0.5970
acc=68.3333, pre=74.9278, rec=68.8988, f1=0.6898, kap=0.5202
acc=65.8333, pre=67.1112, rec=63.0952, f1=0.6390, kap=0.4619
acc=71.6667, pre=71.7063, rec=70.8333, f1=0.7075, kap=0.5663
acc=68.3333, pre=73.4059, rec=68.4524, f1=0.6881, kap=0.5128
acc=67.5000, pre=73.0822, rec=67.4107, f1=0.6753, kap=0.4987
acc=70.0000, pre=72.5175, rec=67.8571, f1=0.6885, kap=0.5276
acc=70.0000, pre=73.4621, rec=69.1964, f1=0.6946, kap=0.5361
acc=70.0000, pre=76.2661, rec=68.7500, f1=0.6916, kap=0.5337
acc=66.6667, pre=72.3937, rec=66.8155, f1=0.6633, kap=0.4924
acc=67.5000, pre=71.9023, rec=66.5179, f1=0.6601, kap=0.4961
acc=68.3333, pre=72.7669, rec=67.5595, f1=0.6714, kap=0.5116
acc=68.3333, pre=72.5475, rec=68.8988, f1=0.6827, kap=0.5190
acc=70.8333, pre=71.5703, rec=71.1310, f1=0.7086, kap=0.5501
acc=64.1667, pre=66.4775, rec=62.7976, f1=0.6326, kap=0.4401
acc=66.6667, pre=69.8835, rec=65.9226, f1=0.6612, kap=0.4845
acc=66.6667, pre=72.6080, rec=65.4762, f1=0.6540, kap=0.4819
acc=64.1667, pre=70.7602, rec=64.5833, f1=0.6391, kap=0.4557
acc=65.0000, pre=67.6189, rec=65.1786, f1=0.6463, kap=0.4656
