acc=70.8333, pre=78.0764, rec=70.6944, f1=0.6976, kap=0.5658
acc=72.5000, pre=73.3333, rec=72.0833, f1=0.7159, kap=0.5875
acc=83.3333, pre=82.7563, rec=82.0139, f1=0.8175, kap=0.7473
acc=87.5000, pre=86.6935, rec=86.9444, f1=0.8655, kap=0.8108
acc=89.1667, pre=88.3546, rec=88.6806, f1=0.8848, kap=0.8359
acc=92.5000, pre=92.1776, rec=91.7361, f1=0.9193, kap=0.8857
acc=90.8333, pre=90.0210, rec=90.2083, f1=0.9010, kap=0.8609
acc=90.8333, pre=90.1367, rec=90.6944, f1=0.9030, kap=0.8615
acc=93.3333, pre=92.8490, rec=93.4722, f1=0.9302, kap=0.8992
acc=93.3333, pre=92.9825, rec=93.6806, f1=0.9303, kap=0.8995
acc=94.1667, pre=93.6588, rec=94.1667, f1=0.9383, kap=0.9117
acc=94.1667, pre=93.5837, rec=93.8194, f1=0.9369, kap=0.9115
acc=91.6667, pre=91.0017, rec=91.3889, f1=0.9116, kap=0.8737
acc=95.8333, pre=95.4813, rec=95.9028, f1=0.9561, kap=0.9369
acc=90.8333, pre=90.3069, rec=90.3472, f1=0.9032, kap=0.8608
acc=92.5000, pre=92.6829, rec=93.0556, f1=0.9222, kap=0.8872
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=95.8333, pre=95.3358, rec=95.9028, f1=0.9554, kap=0.9369
acc=95.8333, pre=95.6614, rec=95.2083, f1=0.9541, kap=0.9365
acc=94.1667, pre=93.6588, rec=94.1667, f1=0.9383, kap=0.9117
acc=90.8333, pre=90.1013, rec=90.0000, f1=0.9004, kap=0.8605
acc=95.8333, pre=95.4949, rec=95.9028, f1=0.9566, kap=0.9368
acc=92.5000, pre=91.8644, rec=92.0833, f1=0.9196, kap=0.8862
acc=95.0000, pre=94.6598, rec=94.5139, f1=0.9458, kap=0.9239
acc=92.5000, pre=91.8644, rec=92.0833, f1=0.9196, kap=0.8862
acc=93.3333, pre=92.8249, rec=93.1250, f1=0.9294, kap=0.8989
acc=92.5000, pre=92.1581, rec=92.4306, f1=0.9221, kap=0.8864
acc=92.5000, pre=91.9183, rec=92.4306, f1=0.9211, kap=0.8865
acc=95.8333, pre=95.4955, rec=96.2500, f1=0.9565, kap=0.9371
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=94.1667, pre=93.5714, rec=94.1667, f1=0.9378, kap=0.9118
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=93.3333, pre=92.7991, rec=93.4722, f1=0.9301, kap=0.8992
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=94.1667, pre=93.7174, rec=94.3750, f1=0.9383, kap=0.9119
acc=94.1667, pre=93.7174, rec=94.3750, f1=0.9383, kap=0.9119
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=95.8333, pre=95.4955, rec=96.1111, f1=0.9558, kap=0.9370
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=94.1667, pre=93.7399, rec=94.5139, f1=0.9390, kap=0.9120
acc=95.0000, pre=94.5157, rec=95.2083, f1=0.9472, kap=0.9244
acc=94.1667, pre=93.6610, rec=94.3750, f1=0.9387, kap=0.9118
acc=93.3333, pre=92.9279, rec=93.8194, f1=0.9312, kap=0.8995
acc=93.3333, pre=92.8490, rec=93.4722, f1=0.9302, kap=0.8992
acc=94.1667, pre=93.7037, rec=94.5139, f1=0.9394, kap=0.9119
