acc=50.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=0.0000
acc=53.3333, pre=52.3810, rec=73.3333, f1=0.6111, kap=0.0667
acc=63.3333, pre=62.9032, rec=65.0000, f1=0.6393, kap=0.2667
acc=64.1667, pre=64.4068, rec=63.3333, f1=0.6387, kap=0.2833
acc=69.1667, pre=70.1754, rec=66.6667, f1=0.6838, kap=0.3833
acc=77.5000, pre=83.6735, rec=68.3333, f1=0.7523, kap=0.5500
acc=79.1667, pre=85.7143, rec=70.0000, f1=0.7706, kap=0.5833
acc=76.6667, pre=82.0000, rec=68.3333, f1=0.7455, kap=0.5333
acc=73.3333, pre=78.0000, rec=65.0000, f1=0.7091, kap=0.4667
acc=75.8333, pre=78.1818, rec=71.6667, f1=0.7478, kap=0.5167
acc=73.3333, pre=73.3333, rec=73.3333, f1=0.7333, kap=0.4667
acc=73.3333, pre=75.0000, rec=70.0000, f1=0.7241, kap=0.4667
acc=72.5000, pre=71.4286, rec=75.0000, f1=0.7317, kap=0.4500
acc=73.3333, pre=72.5806, rec=75.0000, f1=0.7377, kap=0.4667
acc=75.8333, pre=77.1930, rec=73.3333, f1=0.7521, kap=0.5167
acc=71.6667, pre=69.6970, rec=76.6667, f1=0.7302, kap=0.4333
acc=69.1667, pre=67.1642, rec=75.0000, f1=0.7087, kap=0.3833
acc=76.6667, pre=75.0000, rec=80.0000, f1=0.7742, kap=0.5333
acc=75.8333, pre=77.1930, rec=73.3333, f1=0.7521, kap=0.5167
acc=73.3333, pre=70.5882, rec=80.0000, f1=0.7500, kap=0.4667
acc=70.8333, pre=67.6056, rec=80.0000, f1=0.7328, kap=0.4167
acc=73.3333, pre=73.3333, rec=73.3333, f1=0.7333, kap=0.4667
acc=70.0000, pre=67.6471, rec=76.6667, f1=0.7188, kap=0.4000
acc=70.0000, pre=67.6471, rec=76.6667, f1=0.7188, kap=0.4000
acc=70.8333, pre=68.6567, rec=76.6667, f1=0.7244, kap=0.4167
acc=75.8333, pre=73.8462, rec=80.0000, f1=0.7680, kap=0.5167
acc=76.6667, pre=76.6667, rec=76.6667, f1=0.7667, kap=0.5333
acc=74.1667, pre=72.3077, rec=78.3333, f1=0.7520, kap=0.4833
acc=75.8333, pre=73.8462, rec=80.0000, f1=0.7680, kap=0.5167
acc=70.8333, pre=68.1159, rec=78.3333, f1=0.7287, kap=0.4167
acc=74.1667, pre=73.7705, rec=75.0000, f1=0.7438, kap=0.4833
acc=75.8333, pre=75.4098, rec=76.6667, f1=0.7603, kap=0.5167
acc=75.0000, pre=72.0588, rec=81.6667, f1=0.7656, kap=0.5000
acc=79.1667, pre=78.6885, rec=80.0000, f1=0.7934, kap=0.5833
acc=75.0000, pre=73.4375, rec=78.3333, f1=0.7581, kap=0.5000
acc=78.3333, pre=79.3103, rec=76.6667, f1=0.7797, kap=0.5667
acc=75.8333, pre=76.2712, rec=75.0000, f1=0.7563, kap=0.5167
acc=72.5000, pre=70.7692, rec=76.6667, f1=0.7360, kap=0.4500
acc=74.1667, pre=72.3077, rec=78.3333, f1=0.7520, kap=0.4833
acc=71.6667, pre=71.6667, rec=71.6667, f1=0.7167, kap=0.4333
acc=74.1667, pre=73.0159, rec=76.6667, f1=0.7480, kap=0.4833
acc=72.5000, pre=68.4932, rec=83.3333, f1=0.7519, kap=0.4500
acc=73.3333, pre=70.0000, rec=81.6667, f1=0.7538, kap=0.4667
acc=74.1667, pre=71.6418, rec=80.0000, f1=0.7559, kap=0.4833
acc=73.3333, pre=70.0000, rec=81.6667, f1=0.7538, kap=0.4667
acc=75.0000, pre=72.0588, rec=81.6667, f1=0.7656, kap=0.5000
acc=72.5000, pre=69.0141, rec=81.6667, f1=0.7481, kap=0.4500
acc=74.1667, pre=70.4225, rec=83.3333, f1=0.7634, kap=0.4833
acc=76.6667, pre=75.0000, rec=80.0000, f1=0.7742, kap=0.5333
acc=76.6667, pre=75.8065, rec=78.3333, f1=0.7705, kap=0.5333
acc=75.8333, pre=73.1343, rec=81.6667, f1=0.7717, kap=0.5167
acc=77.5000, pre=76.1905, rec=80.0000, f1=0.7805, kap=0.5500
acc=80.0000, pre=81.0345, rec=78.3333, f1=0.7966, kap=0.6000
acc=78.3333, pre=76.5625, rec=81.6667, f1=0.7903, kap=0.5667
acc=76.6667, pre=74.2424, rec=81.6667, f1=0.7778, kap=0.5333
acc=75.8333, pre=73.8462, rec=80.0000, f1=0.7680, kap=0.5167
acc=75.0000, pre=73.4375, rec=78.3333, f1=0.7581, kap=0.5000
acc=76.6667, pre=73.5294, rec=83.3333, f1=0.7812, kap=0.5333
acc=75.0000, pre=72.0588, rec=81.6667, f1=0.7656, kap=0.5000
acc=74.1667, pre=73.0159, rec=76.6667, f1=0.7480, kap=0.4833
acc=74.1667, pre=73.0159, rec=76.6667, f1=0.7480, kap=0.4833
acc=75.8333, pre=74.6032, rec=78.3333, f1=0.7642, kap=0.5167
acc=76.6667, pre=75.0000, rec=80.0000, f1=0.7742, kap=0.5333
acc=75.8333, pre=73.1343, rec=81.6667, f1=0.7717, kap=0.5167
acc=75.8333, pre=73.1343, rec=81.6667, f1=0.7717, kap=0.5167
acc=75.0000, pre=72.0588, rec=81.6667, f1=0.7656, kap=0.5000
