acc=48.3333, pre=49.1525, rec=96.6667, f1=0.6517, kap=-0.0333
acc=60.0000, pre=60.3448, rec=58.3333, f1=0.5932, kap=0.2000
acc=60.0000, pre=60.3448, rec=58.3333, f1=0.5932, kap=0.2000
acc=62.5000, pre=62.7119, rec=61.6667, f1=0.6218, kap=0.2500
acc=70.8333, pre=72.7273, rec=66.6667, f1=0.6957, kap=0.4167
acc=85.0000, pre=87.5000, rec=81.6667, f1=0.8448, kap=0.7000
acc=80.0000, pre=84.6154, rec=73.3333, f1=0.7857, kap=0.6000
acc=71.6667, pre=84.2105, rec=53.3333, f1=0.6531, kap=0.4333
acc=85.0000, pre=86.2069, rec=83.3333, f1=0.8475, kap=0.7000
acc=83.3333, pre=91.6667, rec=73.3333, f1=0.8148, kap=0.6667
acc=82.5000, pre=88.2353, rec=75.0000, f1=0.8108, kap=0.6500
acc=77.5000, pre=83.6735, rec=68.3333, f1=0.7523, kap=0.5500
acc=80.0000, pre=84.6154, rec=73.3333, f1=0.7857, kap=0.6000
acc=75.0000, pre=82.6087, rec=63.3333, f1=0.7170, kap=0.5000
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=79.1667, pre=83.0189, rec=73.3333, f1=0.7788, kap=0.5833
acc=78.3333, pre=82.6923, rec=71.6667, f1=0.7679, kap=0.5667
acc=75.8333, pre=82.9787, rec=65.0000, f1=0.7290, kap=0.5167
acc=78.3333, pre=81.4815, rec=73.3333, f1=0.7719, kap=0.5667
acc=73.3333, pre=81.8182, rec=60.0000, f1=0.6923, kap=0.4667
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=77.5000, pre=81.1321, rec=71.6667, f1=0.7611, kap=0.5500
acc=77.5000, pre=83.6735, rec=68.3333, f1=0.7523, kap=0.5500
acc=80.0000, pre=84.6154, rec=73.3333, f1=0.7857, kap=0.6000
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=80.8333, pre=84.9057, rec=75.0000, f1=0.7965, kap=0.6167
acc=77.5000, pre=83.6735, rec=68.3333, f1=0.7523, kap=0.5500
acc=80.0000, pre=81.0345, rec=78.3333, f1=0.7966, kap=0.6000
acc=79.1667, pre=81.8182, rec=75.0000, f1=0.7826, kap=0.5833
acc=79.1667, pre=85.7143, rec=70.0000, f1=0.7706, kap=0.5833
acc=80.0000, pre=81.0345, rec=78.3333, f1=0.7966, kap=0.6000
acc=81.6667, pre=82.7586, rec=80.0000, f1=0.8136, kap=0.6333
acc=81.6667, pre=83.9286, rec=78.3333, f1=0.8103, kap=0.6333
acc=78.3333, pre=81.4815, rec=73.3333, f1=0.7719, kap=0.5667
acc=79.1667, pre=78.6885, rec=80.0000, f1=0.7934, kap=0.5833
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=78.3333, pre=84.0000, rec=70.0000, f1=0.7636, kap=0.5667
acc=78.3333, pre=81.4815, rec=73.3333, f1=0.7719, kap=0.5667
acc=79.1667, pre=83.0189, rec=73.3333, f1=0.7788, kap=0.5833
acc=81.6667, pre=83.9286, rec=78.3333, f1=0.8103, kap=0.6333
acc=80.8333, pre=83.6364, rec=76.6667, f1=0.8000, kap=0.6167
acc=80.0000, pre=84.6154, rec=73.3333, f1=0.7857, kap=0.6000
acc=80.0000, pre=83.3333, rec=75.0000, f1=0.7895, kap=0.6000
acc=82.5000, pre=86.7925, rec=76.6667, f1=0.8142, kap=0.6500
acc=79.1667, pre=84.3137, rec=71.6667, f1=0.7748, kap=0.5833
acc=80.8333, pre=86.2745, rec=73.3333, f1=0.7928, kap=0.6167
acc=75.0000, pre=81.2500, rec=65.0000, f1=0.7222, kap=0.5000
acc=80.0000, pre=82.1429, rec=76.6667, f1=0.7931, kap=0.6000
acc=78.3333, pre=82.6923, rec=71.6667, f1=0.7679, kap=0.5667
acc=80.0000, pre=84.6154, rec=73.3333, f1=0.7857, kap=0.6000
acc=80.0000, pre=86.0000, rec=71.6667, f1=0.7818, kap=0.6000
acc=80.8333, pre=83.6364, rec=76.6667, f1=0.8000, kap=0.6167
acc=80.8333, pre=82.4561, rec=78.3333, f1=0.8034, kap=0.6167
acc=75.8333, pre=84.4444, rec=63.3333, f1=0.7238, kap=0.5167
acc=80.8333, pre=86.2745, rec=73.3333, f1=0.7928, kap=0.6167
acc=80.8333, pre=84.9057, rec=75.0000, f1=0.7965, kap=0.6167
acc=82.5000, pre=86.7925, rec=76.6667, f1=0.8142, kap=0.6500
acc=80.8333, pre=86.2745, rec=73.3333, f1=0.7928, kap=0.6167
acc=81.6667, pre=86.5385, rec=75.0000, f1=0.8036, kap=0.6333
acc=81.6667, pre=86.5385, rec=75.0000, f1=0.8036, kap=0.6333
acc=80.8333, pre=86.2745, rec=73.3333, f1=0.7928, kap=0.6167
acc=80.8333, pre=86.2745, rec=73.3333, f1=0.7928, kap=0.6167
