acc=51.6667, pre=63.5714, rec=54.2361, f1=0.5211, kap=0.3040
acc=66.6667, pre=68.6566, rec=67.7083, f1=0.6620, kap=0.5008
acc=68.3333, pre=67.8169, rec=66.7361, f1=0.6693, kap=0.5132
acc=70.8333, pre=73.3028, rec=69.0278, f1=0.6997, kap=0.5478
acc=72.5000, pre=72.1767, rec=73.3333, f1=0.7205, kap=0.5851
acc=73.3333, pre=73.1723, rec=72.9861, f1=0.7253, kap=0.5936
acc=73.3333, pre=72.7126, rec=73.1250, f1=0.7234, kap=0.5946
acc=70.8333, pre=70.1266, rec=70.3472, f1=0.6947, kap=0.5555
acc=71.6667, pre=71.3235, rec=71.0417, f1=0.7031, kap=0.5674
acc=68.3333, pre=69.5534, rec=67.2222, f1=0.6754, kap=0.5124
acc=71.6667, pre=71.7184, rec=70.6944, f1=0.7008, kap=0.5660
acc=65.8333, pre=67.6633, rec=64.5139, f1=0.6508, kap=0.4721
acc=74.1667, pre=73.8438, rec=73.8194, f1=0.7319, kap=0.6066
acc=64.1667, pre=65.0420, rec=62.4306, f1=0.6282, kap=0.4454
acc=73.3333, pre=72.9630, rec=72.7778, f1=0.7216, kap=0.5932
acc=71.6667, pre=71.1742, rec=70.6944, f1=0.7004, kap=0.5663
acc=65.8333, pre=66.8742, rec=63.8194, f1=0.6434, kap=0.4703
acc=68.3333, pre=68.8805, rec=66.3889, f1=0.6666, kap=0.5103
acc=65.8333, pre=67.7122, rec=63.8194, f1=0.6432, kap=0.4694
acc=64.1667, pre=64.7585, rec=62.7778, f1=0.6318, kap=0.4473
acc=69.1667, pre=68.2677, rec=67.7778, f1=0.6716, kap=0.5265
acc=72.5000, pre=71.0942, rec=71.0417, f1=0.7054, kap=0.5784
acc=72.5000, pre=72.4646, rec=71.3889, f1=0.7086, kap=0.5784
acc=69.1667, pre=68.9815, rec=67.7083, f1=0.6788, kap=0.5256
acc=67.5000, pre=66.4661, rec=66.2500, f1=0.6635, kap=0.5055
acc=65.8333, pre=66.6058, rec=64.1667, f1=0.6473, kap=0.4721
acc=71.6667, pre=71.8615, rec=70.5556, f1=0.7021, kap=0.5652
acc=67.5000, pre=68.3266, rec=66.2500, f1=0.6687, kap=0.4996
acc=73.3333, pre=72.3920, rec=72.2917, f1=0.7202, kap=0.5922
acc=66.6667, pre=66.6500, rec=66.3194, f1=0.6641, kap=0.4945
acc=70.0000, pre=70.3633, rec=69.5139, f1=0.6982, kap=0.5412
acc=63.3333, pre=64.1538, rec=62.7083, f1=0.6294, kap=0.4421
acc=70.0000, pre=70.3633, rec=69.5139, f1=0.6982, kap=0.5412
acc=68.3333, pre=69.0718, rec=67.2222, f1=0.6750, kap=0.5128
acc=70.0000, pre=70.3633, rec=69.5139, f1=0.6982, kap=0.5412
acc=69.1667, pre=68.9186, rec=67.8472, f1=0.6775, kap=0.5260
acc=70.8333, pre=70.9365, rec=70.3472, f1=0.7052, kap=0.5543
acc=69.1667, pre=70.0256, rec=68.8194, f1=0.6912, kap=0.5281
acc=67.5000, pre=68.4360, rec=66.5972, f1=0.6714, kap=0.5004
acc=67.5000, pre=67.7101, rec=66.8750, f1=0.6721, kap=0.5038
acc=68.3333, pre=68.5583, rec=67.0833, f1=0.6734, kap=0.5132
acc=70.8333, pre=71.0089, rec=69.5833, f1=0.6963, kap=0.5517
acc=66.6667, pre=67.4820, rec=65.2083, f1=0.6581, kap=0.4859
acc=65.8333, pre=66.0471, rec=64.7917, f1=0.6524, kap=0.4761
acc=68.3333, pre=69.1453, rec=67.2917, f1=0.6790, kap=0.5132
acc=75.0000, pre=75.0370, rec=74.5139, f1=0.7405, kap=0.6186
acc=70.0000, pre=70.3434, rec=69.3750, f1=0.6977, kap=0.5412
acc=67.5000, pre=67.6672, rec=67.0139, f1=0.6730, kap=0.5038
acc=63.3333, pre=64.0177, rec=62.9861, f1=0.6315, kap=0.4449
acc=70.0000, pre=70.7242, rec=69.3750, f1=0.6990, kap=0.5404
acc=68.3333, pre=68.1944, rec=68.1944, f1=0.6819, kap=0.5186
acc=68.3333, pre=68.5807, rec=67.7083, f1=0.6807, kap=0.5161
acc=66.6667, pre=67.0124, rec=66.0417, f1=0.6638, kap=0.4920
acc=72.5000, pre=72.8939, rec=71.7361, f1=0.7212, kap=0.5787
acc=72.5000, pre=72.8939, rec=71.7361, f1=0.7212, kap=0.5787
acc=71.6667, pre=71.4544, rec=71.2500, f1=0.7134, kap=0.5685
acc=71.6667, pre=71.6032, rec=71.0417, f1=0.7120, kap=0.5671
acc=67.5000, pre=67.4408, rec=67.0139, f1=0.6720, kap=0.5051
acc=68.3333, pre=68.6110, rec=67.7083, f1=0.6808, kap=0.5165
acc=71.6667, pre=72.1166, rec=71.0417, f1=0.7127, kap=0.5663
acc=70.8333, pre=70.8095, rec=70.2083, f1=0.7039, kap=0.5543
acc=71.6667, pre=71.9139, rec=70.9028, f1=0.7128, kap=0.5663
acc=70.8333, pre=70.9077, rec=70.2083, f1=0.7049, kap=0.5543
acc=70.8333, pre=70.9844, rec=70.0694, f1=0.7044, kap=0.5540
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
acc=70.0000, pre=70.1297, rec=69.2361, f1=0.6959, kap=0.5412
acc=70.0000, pre=70.0990, rec=69.2361, f1=0.6959, kap=0.5416
acc=70.0000, pre=70.0990, rec=69.2361, f1=0.6959, kap=0.5416
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
acc=69.1667, pre=69.5218, rec=68.4028, f1=0.6885, kap=0.5285
