acc=28.3333, pre=49.9251, rec=26.8056, f1=0.2432, kap=-0.1073
acc=39.1667, pre=44.0754, rec=39.7222, f1=0.4010, kap=0.0935
acc=51.6667, pre=52.8284, rec=50.1389, f1=0.5082, kap=0.2621
acc=50.8333, pre=50.8000, rec=51.6667, f1=0.5048, kap=0.2674
acc=45.0000, pre=48.4674, rec=46.5972, f1=0.4544, kap=0.1905
acc=49.1667, pre=51.4310, rec=50.3472, f1=0.4958, kap=0.2488
acc=57.5000, pre=60.0232, rec=57.9167, f1=0.5793, kap=0.3678
acc=53.3333, pre=55.9377, rec=52.2222, f1=0.5306, kap=0.2988
acc=60.8333, pre=62.5194, rec=59.6528, f1=0.6053, kap=0.4071
acc=52.5000, pre=53.7788, rec=51.1111, f1=0.5195, kap=0.2821
acc=55.8333, pre=54.6000, rec=54.0278, f1=0.5428, kap=0.3314
acc=55.8333, pre=54.8958, rec=54.2361, f1=0.5453, kap=0.3308
acc=55.8333, pre=56.1554, rec=54.3056, f1=0.5499, kap=0.3319
acc=58.3333, pre=58.9731, rec=57.5000, f1=0.5797, kap=0.3729
acc=50.8333, pre=50.1958, rec=48.9583, f1=0.4949, kap=0.2569
acc=48.3333, pre=49.5040, rec=46.1806, f1=0.4729, kap=0.2211
acc=53.3333, pre=55.4081, rec=53.1250, f1=0.5341, kap=0.3058
acc=49.1667, pre=48.7951, rec=47.2222, f1=0.4790, kap=0.2311
acc=46.6667, pre=47.4066, rec=45.6944, f1=0.4630, kap=0.1987
acc=53.3333, pre=53.4733, rec=51.6667, f1=0.5241, kap=0.2935
acc=52.5000, pre=53.3316, rec=51.1806, f1=0.5200, kap=0.2827
acc=49.1667, pre=51.4307, rec=47.3611, f1=0.4858, kap=0.2311
acc=49.1667, pre=51.4307, rec=47.3611, f1=0.4858, kap=0.2311
acc=50.8333, pre=52.0833, rec=49.1667, f1=0.5023, kap=0.2576
acc=50.8333, pre=52.1794, rec=49.6528, f1=0.5055, kap=0.2613
acc=46.6667, pre=48.5638, rec=45.0000, f1=0.4608, kap=0.1980
acc=49.1667, pre=50.4810, rec=47.9861, f1=0.4884, kap=0.2356
acc=50.0000, pre=52.0645, rec=48.2639, f1=0.4932, kap=0.2462
acc=46.6667, pre=50.1337, rec=45.0000, f1=0.4641, kap=0.1973
acc=50.8333, pre=51.1848, rec=48.8194, f1=0.4973, kap=0.2557
acc=49.1667, pre=51.4265, rec=47.5694, f1=0.4871, kap=0.2369
acc=47.5000, pre=50.1353, rec=45.8333, f1=0.4713, kap=0.2099
acc=45.8333, pre=46.5578, rec=44.7917, f1=0.4530, kap=0.1889
acc=49.1667, pre=50.6629, rec=48.0556, f1=0.4881, kap=0.2375
acc=45.0000, pre=47.4074, rec=43.7500, f1=0.4491, kap=0.1750
acc=45.0000, pre=47.4074, rec=43.7500, f1=0.4491, kap=0.1750
acc=46.6667, pre=48.7383, rec=45.0000, f1=0.4607, kap=0.1960
acc=46.6667, pre=49.4306, rec=45.3472, f1=0.4647, kap=0.2000
acc=45.0000, pre=47.1453, rec=43.6111, f1=0.4467, kap=0.1729
acc=46.6667, pre=48.4079, rec=45.6250, f1=0.4648, kap=0.2020
acc=45.0000, pre=47.2639, rec=43.9583, f1=0.4489, kap=0.1764
acc=47.5000, pre=48.9087, rec=45.8333, f1=0.4681, kap=0.2085
acc=44.1667, pre=46.2963, rec=42.9167, f1=0.4396, kap=0.1625
acc=45.8333, pre=48.1699, rec=44.5833, f1=0.4577, kap=0.1882
acc=48.3333, pre=50.9699, rec=48.4722, f1=0.4848, kap=0.2339
acc=40.8333, pre=44.4570, rec=39.8611, f1=0.4109, kap=0.1162
acc=43.3333, pre=45.2618, rec=42.2222, f1=0.4317, kap=0.1507
acc=44.1667, pre=46.2306, rec=43.2639, f1=0.4409, kap=0.1646
acc=47.5000, pre=50.8471, rec=45.9722, f1=0.4749, kap=0.2112
acc=45.8333, pre=48.9198, rec=44.3056, f1=0.4562, kap=0.1855
acc=45.8333, pre=48.7060, rec=44.6528, f1=0.4576, kap=0.1875
acc=45.8333, pre=48.7060, rec=44.6528, f1=0.4576, kap=0.1875
acc=44.1667, pre=47.4627, rec=43.6111, f1=0.4453, kap=0.1674
acc=45.8333, pre=48.2504, rec=44.3056, f1=0.4545, kap=0.1848
acc=46.6667, pre=48.7152, rec=44.7917, f1=0.4607, kap=0.1967
acc=45.8333, pre=49.1429, rec=44.3056, f1=0.4570, kap=0.1868
acc=42.5000, pre=44.7476, rec=41.0417, f1=0.4220, kap=0.1368
acc=43.3333, pre=45.8971, rec=41.8750, f1=0.4317, kap=0.1493
acc=43.3333, pre=45.7562, rec=41.9444, f1=0.4293, kap=0.1479
acc=45.8333, pre=46.1792, rec=44.5833, f1=0.4514, kap=0.1861
acc=46.6667, pre=47.6671, rec=45.2778, f1=0.4611, kap=0.1980
acc=44.1667, pre=46.3370, rec=43.0556, f1=0.4410, kap=0.1632
acc=45.0000, pre=47.3058, rec=44.0972, f1=0.4503, kap=0.1771
acc=45.0000, pre=47.4074, rec=43.7500, f1=0.4491, kap=0.1750
acc=43.3333, pre=45.5556, rec=42.2222, f1=0.4324, kap=0.1500
acc=44.1667, pre=46.3370, rec=43.0556, f1=0.4410, kap=0.1632
acc=45.0000, pre=47.4074, rec=43.7500, f1=0.4491, kap=0.1750
acc=45.8333, pre=47.9139, rec=44.4444, f1=0.4555, kap=0.1861
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=48.4337, rec=43.6111, f1=0.4500, kap=0.1743
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.8333, pre=48.5119, rec=44.4444, f1=0.4571, kap=0.1868
acc=45.8333, pre=48.5119, rec=44.4444, f1=0.4571, kap=0.1868
acc=45.8333, pre=48.5119, rec=44.4444, f1=0.4571, kap=0.1868
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=44.1667, pre=46.6378, rec=42.9167, f1=0.4404, kap=0.1618
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
acc=45.0000, pre=47.7570, rec=43.6111, f1=0.4483, kap=0.1736
