acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.0000, pre=50.0000, rec=63.3333, f1=0.5588, kap=0.0000
acc=50.0000, pre=50.0000, rec=56.6667, f1=0.5312, kap=0.0000
acc=50.0000, pre=50.0000, rec=61.6667, f1=0.5522, kap=0.0000
acc=50.0000, pre=50.0000, rec=61.6667, f1=0.5522, kap=0.0000
acc=50.0000, pre=50.0000, rec=60.0000, f1=0.5455, kap=0.0000
acc=50.8333, pre=50.7463, rec=56.6667, f1=0.5354, kap=0.0167
acc=50.8333, pre=50.7692, rec=55.0000, f1=0.5280, kap=0.0167
acc=52.5000, pre=52.4590, rec=53.3333, f1=0.5289, kap=0.0500
acc=50.8333, pre=50.7692, rec=55.0000, f1=0.5280, kap=0.0167
acc=51.6667, pre=51.7857, rec=48.3333, f1=0.5000, kap=0.0333
acc=50.8333, pre=50.9804, rec=43.3333, f1=0.4685, kap=0.0167
acc=50.8333, pre=50.9804, rec=43.3333, f1=0.4685, kap=0.0167
acc=52.5000, pre=53.6585, rec=36.6667, f1=0.4356, kap=0.0500
acc=50.8333, pre=50.9804, rec=43.3333, f1=0.4685, kap=0.0167
acc=53.3333, pre=54.7619, rec=38.3333, f1=0.4510, kap=0.0667
acc=55.0000, pre=55.1724, rec=53.3333, f1=0.5424, kap=0.1000
acc=55.0000, pre=55.0000, rec=55.0000, f1=0.5500, kap=0.1000
acc=53.3333, pre=52.9412, rec=60.0000, f1=0.5625, kap=0.0667
acc=53.3333, pre=52.6316, rec=66.6667, f1=0.5882, kap=0.0667
acc=53.3333, pre=52.3810, rec=73.3333, f1=0.6111, kap=0.0667
acc=53.3333, pre=52.5000, rec=70.0000, f1=0.6000, kap=0.0667
acc=54.1667, pre=53.6232, rec=61.6667, f1=0.5736, kap=0.0833
acc=50.8333, pre=50.6173, rec=68.3333, f1=0.5816, kap=0.0167
acc=55.8333, pre=54.4304, rec=71.6667, f1=0.6187, kap=0.1167
acc=51.6667, pre=51.2821, rec=66.6667, f1=0.5797, kap=0.0333
acc=51.6667, pre=51.2195, rec=70.0000, f1=0.5915, kap=0.0333
acc=52.5000, pre=51.9481, rec=66.6667, f1=0.5839, kap=0.0500
acc=53.3333, pre=52.1739, rec=80.0000, f1=0.6316, kap=0.0667
acc=51.6667, pre=51.1364, rec=75.0000, f1=0.6081, kap=0.0333
acc=50.0000, pre=50.0000, rec=61.6667, f1=0.5522, kap=0.0000
acc=52.5000, pre=51.7647, rec=73.3333, f1=0.6069, kap=0.0500
acc=50.8333, pre=50.5882, rec=71.6667, f1=0.5931, kap=0.0167
acc=49.1667, pre=49.3151, rec=60.0000, f1=0.5414, kap=-0.0167
acc=49.1667, pre=49.4253, rec=71.6667, f1=0.5850, kap=-0.0167
acc=48.3333, pre=48.8636, rec=71.6667, f1=0.5811, kap=-0.0333
acc=52.5000, pre=51.9481, rec=66.6667, f1=0.5839, kap=0.0500
acc=51.6667, pre=51.1628, rec=73.3333, f1=0.6027, kap=0.0333
acc=49.1667, pre=49.3671, rec=65.0000, f1=0.5612, kap=-0.0167
acc=49.1667, pre=49.3333, rec=61.6667, f1=0.5481, kap=-0.0167
acc=54.1667, pre=52.8736, rec=76.6667, f1=0.6259, kap=0.0833
acc=50.8333, pre=50.5882, rec=71.6667, f1=0.5931, kap=0.0167
acc=49.1667, pre=49.3671, rec=65.0000, f1=0.5612, kap=-0.0167
acc=49.1667, pre=49.3976, rec=68.3333, f1=0.5734, kap=-0.0167
acc=51.6667, pre=51.1628, rec=73.3333, f1=0.6027, kap=0.0333
acc=50.8333, pre=50.6173, rec=68.3333, f1=0.5816, kap=0.0167
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=50.0000, pre=50.0000, rec=68.3333, f1=0.5775, kap=0.0000
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=52.5000, pre=51.7241, rec=75.0000, f1=0.6122, kap=0.0500
acc=50.0000, pre=50.0000, rec=61.6667, f1=0.5522, kap=0.0000
acc=57.5000, pre=54.8387, rec=85.0000, f1=0.6667, kap=0.1500
acc=54.1667, pre=53.0120, rec=73.3333, f1=0.6154, kap=0.0833
acc=56.6667, pre=55.2632, rec=70.0000, f1=0.6176, kap=0.1333
acc=48.3333, pre=48.6842, rec=61.6667, f1=0.5441, kap=-0.0333
acc=50.0000, pre=50.0000, rec=66.6667, f1=0.5714, kap=0.0000
acc=55.8333, pre=54.3210, rec=73.3333, f1=0.6241, kap=0.1167
acc=51.6667, pre=51.2821, rec=66.6667, f1=0.5797, kap=0.0333
acc=51.6667, pre=51.2821, rec=66.6667, f1=0.5797, kap=0.0333
acc=51.6667, pre=51.2821, rec=66.6667, f1=0.5797, kap=0.0333
acc=50.8333, pre=50.6494, rec=65.0000, f1=0.5693, kap=0.0167
acc=50.8333, pre=50.6494, rec=65.0000, f1=0.5693, kap=0.0167
acc=50.8333, pre=50.6494, rec=65.0000, f1=0.5693, kap=0.0167
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=53.3333, pre=52.5000, rec=70.0000, f1=0.6000, kap=0.0667
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=53.3333, pre=52.5641, rec=68.3333, f1=0.5942, kap=0.0667
acc=53.3333, pre=52.5641, rec=68.3333, f1=0.5942, kap=0.0667
acc=53.3333, pre=52.5000, rec=70.0000, f1=0.6000, kap=0.0667
acc=53.3333, pre=52.5000, rec=70.0000, f1=0.6000, kap=0.0667
acc=52.5000, pre=51.8987, rec=68.3333, f1=0.5899, kap=0.0500
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=53.3333, pre=52.5641, rec=68.3333, f1=0.5942, kap=0.0667
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.7500, rec=71.6667, f1=0.6143, kap=0.1000
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.2468, rec=68.3333, f1=0.5985, kap=0.0833
acc=52.5000, pre=51.9481, rec=66.6667, f1=0.5839, kap=0.0500
acc=53.3333, pre=52.5641, rec=68.3333, f1=0.5942, kap=0.0667
acc=52.5000, pre=51.8987, rec=68.3333, f1=0.5899, kap=0.0500
acc=52.5000, pre=51.8987, rec=68.3333, f1=0.5899, kap=0.0500
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=55.0000, pre=53.8462, rec=70.0000, f1=0.6087, kap=0.1000
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
acc=54.1667, pre=53.1646, rec=70.0000, f1=0.6043, kap=0.0833
