acc=45.0000, pre=0.0000, rec=0.0000, f1=0.0000, kap=-0.1000
acc=44.1667, pre=33.3333, rec=11.6667, f1=0.1728, kap=-0.1167
acc=50.8333, pre=51.4286, rec=30.0000, f1=0.3789, kap=0.0167
acc=50.0000, pre=50.0000, rec=30.0000, f1=0.3750, kap=0.0000
acc=50.8333, pre=51.4286, rec=30.0000, f1=0.3789, kap=0.0167
acc=50.8333, pre=51.4286, rec=30.0000, f1=0.3789, kap=0.0167
acc=52.5000, pre=54.5455, rec=30.0000, f1=0.3871, kap=0.0500
acc=51.6667, pre=53.1250, rec=28.3333, f1=0.3696, kap=0.0333
acc=51.6667, pre=53.1250, rec=28.3333, f1=0.3696, kap=0.0333
acc=51.6667, pre=52.9412, rec=30.0000, f1=0.3830, kap=0.0333
acc=52.5000, pre=52.4590, rec=53.3333, f1=0.5289, kap=0.0500
acc=56.6667, pre=55.8824, rec=63.3333, f1=0.5938, kap=0.1333
acc=57.5000, pre=56.5217, rec=65.0000, f1=0.6047, kap=0.1500
acc=57.5000, pre=56.5217, rec=65.0000, f1=0.6047, kap=0.1500
acc=55.8333, pre=54.9296, rec=65.0000, f1=0.5954, kap=0.1167
acc=54.1667, pre=53.8462, rec=58.3333, f1=0.5600, kap=0.0833
acc=55.0000, pre=54.8387, rec=56.6667, f1=0.5574, kap=0.1000
acc=59.1667, pre=57.7465, rec=68.3333, f1=0.6260, kap=0.1833
acc=58.3333, pre=56.5789, rec=71.6667, f1=0.6324, kap=0.1667
acc=59.1667, pre=57.1429, rec=73.3333, f1=0.6423, kap=0.1833
acc=59.1667, pre=57.1429, rec=73.3333, f1=0.6423, kap=0.1833
acc=60.8333, pre=58.6667, rec=73.3333, f1=0.6519, kap=0.2167
acc=57.5000, pre=56.3380, rec=66.6667, f1=0.6107, kap=0.1500
acc=61.6667, pre=58.9744, rec=76.6667, f1=0.6667, kap=0.2333
acc=57.5000, pre=56.5217, rec=65.0000, f1=0.6047, kap=0.1500
acc=60.0000, pre=58.8235, rec=66.6667, f1=0.6250, kap=0.2000
acc=60.8333, pre=61.0169, rec=60.0000, f1=0.6050, kap=0.2167
acc=59.1667, pre=57.5342, rec=70.0000, f1=0.6316, kap=0.1833
acc=59.1667, pre=61.7021, rec=48.3333, f1=0.5421, kap=0.1833
acc=60.8333, pre=61.0169, rec=60.0000, f1=0.6050, kap=0.2167
acc=60.0000, pre=60.3448, rec=58.3333, f1=0.5932, kap=0.2000
acc=60.8333, pre=58.9041, rec=71.6667, f1=0.6466, kap=0.2167
acc=59.1667, pre=60.3774, rec=53.3333, f1=0.5664, kap=0.1833
acc=58.3333, pre=57.5758, rec=63.3333, f1=0.6032, kap=0.1667
acc=62.5000, pre=61.1940, rec=68.3333, f1=0.6457, kap=0.2500
acc=63.3333, pre=62.9032, rec=65.0000, f1=0.6393, kap=0.2667
acc=58.3333, pre=56.5789, rec=71.6667, f1=0.6324, kap=0.1667
acc=54.1667, pre=55.5556, rec=41.6667, f1=0.4762, kap=0.0833
acc=62.5000, pre=61.9048, rec=65.0000, f1=0.6341, kap=0.2500
acc=58.3333, pre=56.5789, rec=71.6667, f1=0.6324, kap=0.1667
acc=60.8333, pre=60.0000, rec=65.0000, f1=0.6240, kap=0.2167
acc=59.1667, pre=58.4615, rec=63.3333, f1=0.6080, kap=0.1833
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=54.1667, pre=53.3333, rec=66.6667, f1=0.5926, kap=0.0833
acc=55.8333, pre=55.3846, rec=60.0000, f1=0.5760, kap=0.1167
acc=55.0000, pre=54.5455, rec=60.0000, f1=0.5714, kap=0.1000
acc=53.3333, pre=52.7778, rec=63.3333, f1=0.5758, kap=0.0667
acc=54.1667, pre=53.4247, rec=65.0000, f1=0.5865, kap=0.0833
acc=54.1667, pre=53.8462, rec=58.3333, f1=0.5600, kap=0.0833
acc=49.1667, pre=49.3506, rec=63.3333, f1=0.5547, kap=-0.0167
acc=50.8333, pre=50.6667, rec=63.3333, f1=0.5630, kap=0.0167
acc=52.5000, pre=52.2388, rec=58.3333, f1=0.5512, kap=0.0500
acc=55.0000, pre=54.4118, rec=61.6667, f1=0.5781, kap=0.1000
acc=50.8333, pre=50.6849, rec=61.6667, f1=0.5564, kap=0.0167
acc=44.1667, pre=45.0704, rec=53.3333, f1=0.4885, kap=-0.1167
acc=47.5000, pre=48.0000, rec=60.0000, f1=0.5333, kap=-0.0500
acc=52.5000, pre=52.2388, rec=58.3333, f1=0.5512, kap=0.0500
acc=49.1667, pre=49.0196, rec=41.6667, f1=0.4505, kap=-0.0167
acc=53.3333, pre=53.2258, rec=55.0000, f1=0.5410, kap=0.0667
acc=51.6667, pre=51.0870, rec=78.3333, f1=0.6184, kap=0.0333
acc=50.8333, pre=50.5495, rec=76.6667, f1=0.6093, kap=0.0167
acc=51.6667, pre=51.1111, rec=76.6667, f1=0.6133, kap=0.0333
acc=50.8333, pre=50.5618, rec=75.0000, f1=0.6040, kap=0.0167
acc=50.0000, pre=50.0000, rec=75.0000, f1=0.6000, kap=0.0000
acc=50.0000, pre=50.0000, rec=73.3333, f1=0.5946, kap=0.0000
acc=52.5000, pre=51.7647, rec=73.3333, f1=0.6069, kap=0.0500
acc=52.5000, pre=51.7647, rec=73.3333, f1=0.6069, kap=0.0500
acc=52.5000, pre=51.8072, rec=71.6667, f1=0.6014, kap=0.0500
acc=53.3333, pre=52.3810, rec=73.3333, f1=0.6111, kap=0.0667
