acc=31.6667, pre=19.9074, rec=31.6667, f1=0.2424, kap=-0.0250
acc=30.8333, pre=17.8711, rec=30.8333, f1=0.2187, kap=-0.0375
acc=21.6667, pre=20.6653, rec=21.6667, f1=0.1771, kap=-0.1750
acc=25.0000, pre=24.8030, rec=25.0000, f1=0.2490, kap=-0.1250
acc=31.6667, pre=19.1667, rec=31.6667, f1=0.2333, kap=-0.0250
acc=25.8333, pre=30.5154, rec=25.8333, f1=0.2645, kap=-0.1125
acc=21.6667, pre=24.9850, rec=21.6667, f1=0.1892, kap=-0.1750
acc=31.6667, pre=19.5309, rec=31.6667, f1=0.2375, kap=-0.0250
acc=21.6667, pre=14.4329, rec=21.6667, f1=0.1700, kap=-0.1750
acc=21.6667, pre=14.1667, rec=21.6667, f1=0.1667, kap=-0.1750
acc=23.3333, pre=26.9896, rec=23.3333, f1=0.2446, kap=-0.1500
acc=30.8333, pre=18.7404, rec=30.8333, f1=0.2283, kap=-0.0375
acc=30.0000, pre=31.5807, rec=30.0000, f1=0.2829, kap=-0.0500
acc=24.1667, pre=24.0642, rec=24.1667, f1=0.2407, kap=-0.1375
acc=26.6667, pre=25.1040, rec=26.6667, f1=0.2372, kap=-0.1000
acc=29.1667, pre=32.8438, rec=29.1667, f1=0.2803, kap=-0.0625
acc=25.8333, pre=25.6406, rec=25.8333, f1=0.2520, kap=-0.1125
acc=37.5000, pre=40.8809, rec=37.5000, f1=0.3765, kap=0.0625
acc=27.5000, pre=32.2222, rec=27.5000, f1=0.2707, kap=-0.0875
acc=36.6667, pre=34.6446, rec=36.6667, f1=0.3343, kap=0.0500
acc=30.8333, pre=31.4669, rec=30.8333, f1=0.3053, kap=-0.0375
acc=33.3333, pre=35.8425, rec=33.3333, f1=0.3188, kap=0.0000
acc=26.6667, pre=29.0369, rec=26.6667, f1=0.2675, kap=-0.1000
acc=39.1667, pre=40.6746, rec=39.1667, f1=0.3886, kap=0.0875
acc=34.1667, pre=35.6480, rec=34.1667, f1=0.3423, kap=0.0125
acc=34.1667, pre=35.3419, rec=34.1667, f1=0.3411, kap=0.0125
acc=35.0000, pre=36.3831, rec=35.0000, f1=0.3478, kap=0.0250
acc=35.0000, pre=35.6169, rec=35.0000, f1=0.3485, kap=0.0250
acc=40.0000, pre=41.3277, rec=40.0000, f1=0.4000, kap=0.1000
acc=30.8333, pre=31.7987, rec=30.8333, f1=0.3113, kap=-0.0375
acc=38.3333, pre=39.7531, rec=38.3333, f1=0.3847, kap=0.0750
acc=32.5000, pre=33.0043, rec=32.5000, f1=0.3263, kap=-0.0125
acc=31.6667, pre=31.8166, rec=31.6667, f1=0.3170, kap=-0.0250
acc=32.5000, pre=32.9236, rec=32.5000, f1=0.3256, kap=-0.0125
acc=30.0000, pre=30.6978, rec=30.0000, f1=0.3011, kap=-0.0500
acc=31.6667, pre=32.9535, rec=31.6667, f1=0.3169, kap=-0.0250
acc=36.6667, pre=35.6124, rec=36.6667, f1=0.3595, kap=0.0500
acc=30.8333, pre=30.3989, rec=30.8333, f1=0.3054, kap=-0.0375
acc=39.1667, pre=39.1100, rec=39.1667, f1=0.3913, kap=0.0875
acc=39.1667, pre=38.4028, rec=39.1667, f1=0.3852, kap=0.0875
acc=35.8333, pre=35.8205, rec=35.8333, f1=0.3570, kap=0.0375
acc=31.6667, pre=32.4155, rec=31.6667, f1=0.3185, kap=-0.0250
acc=39.1667, pre=38.9665, rec=39.1667, f1=0.3885, kap=0.0875
acc=41.6667, pre=40.9277, rec=41.6667, f1=0.4076, kap=0.1250
acc=44.1667, pre=44.4840, rec=44.1667, f1=0.4368, kap=0.1625
acc=34.1667, pre=34.7538, rec=34.1667, f1=0.3426, kap=0.0125
acc=35.8333, pre=35.5976, rec=35.8333, f1=0.3568, kap=0.0375
acc=39.1667, pre=38.6224, rec=39.1667, f1=0.3840, kap=0.0875
acc=40.0000, pre=38.4223, rec=40.0000, f1=0.3811, kap=0.1000
acc=32.5000, pre=31.6220, rec=32.5000, f1=0.3185, kap=-0.0125
acc=40.0000, pre=39.7436, rec=40.0000, f1=0.3986, kap=0.1000
acc=40.0000, pre=39.8428, rec=40.0000, f1=0.3946, kap=0.1000
acc=43.3333, pre=42.9877, rec=43.3333, f1=0.4313, kap=0.1500
acc=30.8333, pre=31.8901, rec=30.8333, f1=0.3103, kap=-0.0375
acc=43.3333, pre=41.5264, rec=43.3333, f1=0.4178, kap=0.1500
acc=40.0000, pre=37.5158, rec=40.0000, f1=0.3829, kap=0.1000
