acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=34.1667, pre=23.3873, rec=34.1667, f1=0.2762, kap=0.0125
acc=25.0000, pre=29.3422, rec=25.0000, f1=0.2194, kap=-0.1250
acc=24.1667, pre=16.4422, rec=24.1667, f1=0.1952, kap=-0.1375
acc=25.0000, pre=16.4435, rec=25.0000, f1=0.1982, kap=-0.1250
acc=25.0000, pre=16.4435, rec=25.0000, f1=0.1982, kap=-0.1250
acc=25.0000, pre=16.7594, rec=25.0000, f1=0.2006, kap=-0.1250
acc=27.5000, pre=18.1843, rec=27.5000, f1=0.2188, kap=-0.0875
acc=29.1667, pre=52.1496, rec=29.1667, f1=0.2421, kap=-0.0625
acc=35.8333, pre=35.6467, rec=35.8333, f1=0.3339, kap=0.0375
acc=31.6667, pre=29.7050, rec=31.6667, f1=0.2276, kap=-0.0250
acc=42.5000, pre=47.4328, rec=42.5000, f1=0.3656, kap=0.1375
acc=30.8333, pre=28.2323, rec=30.8333, f1=0.2801, kap=-0.0375
acc=33.3333, pre=31.0229, rec=33.3333, f1=0.3090, kap=0.0000
acc=42.5000, pre=43.1246, rec=42.5000, f1=0.4204, kap=0.1375
acc=36.6667, pre=37.3324, rec=36.6667, f1=0.3679, kap=0.0500
acc=43.3333, pre=43.1217, rec=43.3333, f1=0.4236, kap=0.1500
acc=34.1667, pre=32.0292, rec=34.1667, f1=0.3219, kap=0.0125
acc=40.0000, pre=40.2983, rec=40.0000, f1=0.3960, kap=0.1000
acc=40.0000, pre=40.5678, rec=40.0000, f1=0.3951, kap=0.1000
acc=35.0000, pre=34.4138, rec=35.0000, f1=0.3429, kap=0.0250
acc=42.5000, pre=43.2603, rec=42.5000, f1=0.4274, kap=0.1375
acc=44.1667, pre=44.0268, rec=44.1667, f1=0.4405, kap=0.1625
acc=42.5000, pre=43.2678, rec=42.5000, f1=0.4244, kap=0.1375
acc=45.0000, pre=44.8937, rec=45.0000, f1=0.4494, kap=0.1750
acc=43.3333, pre=43.4482, rec=43.3333, f1=0.4337, kap=0.1500
acc=40.8333, pre=41.4803, rec=40.8333, f1=0.4099, kap=0.1125
acc=41.6667, pre=42.4416, rec=41.6667, f1=0.4177, kap=0.1250
acc=43.3333, pre=43.9535, rec=43.3333, f1=0.4354, kap=0.1500
acc=42.5000, pre=42.6211, rec=42.5000, f1=0.4183, kap=0.1375
acc=41.6667, pre=42.7386, rec=41.6667, f1=0.4197, kap=0.1250
acc=43.3333, pre=43.9305, rec=43.3333, f1=0.4338, kap=0.1500
acc=38.3333, pre=38.6040, rec=38.3333, f1=0.3839, kap=0.0750
acc=34.1667, pre=34.3305, rec=34.1667, f1=0.3417, kap=0.0125
