acc=50.8333, pre=100.0000, rec=1.6667, f1=0.0328, kap=0.0167
acc=40.0000, pre=41.4286, rec=48.3333, f1=0.4462, kap=-0.2000
acc=62.5000, pre=57.7320, rec=93.3333, f1=0.7134, kap=0.2500
acc=60.8333, pre=65.1163, rec=46.6667, f1=0.5437, kap=0.2167
acc=63.3333, pre=65.3846, rec=56.6667, f1=0.6071, kap=0.2667
acc=58.3333, pre=57.3529, rec=65.0000, f1=0.6094, kap=0.1667
acc=58.3333, pre=56.9444, rec=68.3333, f1=0.6212, kap=0.1667
acc=54.1667, pre=53.9683, rec=56.6667, f1=0.5528, kap=0.0833
acc=50.0000, pre=50.0000, rec=45.0000, f1=0.4737, kap=0.0000
acc=47.5000, pre=48.0000, rec=60.0000, f1=0.5333, kap=-0.0500
acc=55.0000, pre=54.5455, rec=60.0000, f1=0.5714, kap=0.1000
acc=59.1667, pre=59.0164, rec=60.0000, f1=0.5950, kap=0.1833
acc=62.5000, pre=59.7403, rec=76.6667, f1=0.6715, kap=0.2500
acc=59.1667, pre=56.0440, rec=85.0000, f1=0.6755, kap=0.1833
acc=65.8333, pre=60.6742, rec=90.0000, f1=0.7248, kap=0.3167
acc=57.5000, pre=55.1724, rec=80.0000, f1=0.6531, kap=0.1500
acc=61.6667, pre=59.4595, rec=73.3333, f1=0.6567, kap=0.2333
acc=61.6667, pre=58.7500, rec=78.3333, f1=0.6714, kap=0.2333
acc=60.8333, pre=57.1429, rec=86.6667, f1=0.6887, kap=0.2167
acc=55.8333, pre=53.2710, rec=95.0000, f1=0.6826, kap=0.1167
acc=64.1667, pre=61.9718, rec=73.3333, f1=0.6718, kap=0.2833
acc=62.5000, pre=58.0645, rec=90.0000, f1=0.7059, kap=0.2500
acc=60.0000, pre=58.8235, rec=66.6667, f1=0.6250, kap=0.2000
acc=63.3333, pre=58.6957, rec=90.0000, f1=0.7105, kap=0.2667
acc=65.0000, pre=61.2500, rec=81.6667, f1=0.7000, kap=0.3000
acc=71.6667, pre=68.0556, rec=81.6667, f1=0.7424, kap=0.4333
acc=64.1667, pre=59.1398, rec=91.6667, f1=0.7190, kap=0.2833
acc=65.0000, pre=60.0000, rec=90.0000, f1=0.7200, kap=0.3000
acc=66.6667, pre=62.5000, rec=83.3333, f1=0.7143, kap=0.3333
acc=68.3333, pre=62.7907, rec=90.0000, f1=0.7397, kap=0.3667
acc=66.6667, pre=61.3636, rec=90.0000, f1=0.7297, kap=0.3333
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=67.5000, pre=62.9630, rec=85.0000, f1=0.7234, kap=0.3500
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=68.3333, pre=63.0952, rec=88.3333, f1=0.7361, kap=0.3667
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=69.1667, pre=63.8554, rec=88.3333, f1=0.7413, kap=0.3833
acc=70.0000, pre=64.6341, rec=88.3333, f1=0.7465, kap=0.4000
acc=70.0000, pre=64.6341, rec=88.3333, f1=0.7465, kap=0.4000
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
acc=70.8333, pre=65.4321, rec=88.3333, f1=0.7518, kap=0.4167
