acc=50.0000, pre=37.5695, rec=50.0000, f1=0.4142, kap=0.2500
acc=33.3333, pre=58.3792, rec=33.3333, f1=0.2548, kap=-0.0000
acc=65.8333, pre=67.0548, rec=65.8333, f1=0.6622, kap=0.4875
acc=75.8333, pre=79.5013, rec=75.8333, f1=0.7649, kap=0.6375
acc=75.0000, pre=75.2754, rec=75.0000, f1=0.7448, kap=0.6250
acc=70.0000, pre=69.6429, rec=70.0000, f1=0.6962, kap=0.5500
acc=75.8333, pre=75.5801, rec=75.8333, f1=0.7530, kap=0.6375
acc=75.0000, pre=74.6724, rec=75.0000, f1=0.7441, kap=0.6250
acc=73.3333, pre=72.7547, rec=73.3333, f1=0.7288, kap=0.6000
acc=72.5000, pre=72.5289, rec=72.5000, f1=0.7249, kap=0.5875
acc=72.5000, pre=72.0053, rec=72.5000, f1=0.7216, kap=0.5875
acc=70.0000, pre=69.8207, rec=70.0000, f1=0.6990, kap=0.5500
acc=72.5000, pre=72.2034, rec=72.5000, f1=0.7232, kap=0.5875
acc=71.6667, pre=71.2821, rec=71.6667, f1=0.7142, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=73.3333, pre=73.0852, rec=73.3333, f1=0.7319, kap=0.6000
acc=72.5000, pre=72.0053, rec=72.5000, f1=0.7216, kap=0.5875
acc=70.8333, pre=70.4929, rec=70.8333, f1=0.7063, kap=0.5625
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=72.5000, pre=72.0757, rec=72.5000, f1=0.7224, kap=0.5875
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
acc=72.5000, pre=72.0053, rec=72.5000, f1=0.7216, kap=0.5875
acc=72.5000, pre=72.0053, rec=72.5000, f1=0.7216, kap=0.5875
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
acc=71.6667, pre=71.1858, rec=71.6667, f1=0.7136, kap=0.5750
acc=70.8333, pre=70.3841, rec=70.8333, f1=0.7056, kap=0.5625
