acc=29.1667, pre=19.3452, rec=29.1667, f1=0.2324, kap=-0.0625
acc=37.5000, pre=35.9436, rec=37.5000, f1=0.3564, kap=0.0625
acc=48.3333, pre=45.0989, rec=48.3333, f1=0.4562, kap=0.2250
acc=55.8333, pre=54.6641, rec=55.8333, f1=0.5344, kap=0.3375
acc=65.0000, pre=65.0132, rec=65.0000, f1=0.6482, kap=0.4750
acc=55.8333, pre=56.3601, rec=55.8333, f1=0.5541, kap=0.3375
acc=57.5000, pre=57.9971, rec=57.5000, f1=0.5692, kap=0.3625
acc=57.5000, pre=58.8963, rec=57.5000, f1=0.5653, kap=0.3625
acc=53.3333, pre=54.8323, rec=53.3333, f1=0.5298, kap=0.3000
acc=59.1667, pre=59.6825, rec=59.1667, f1=0.5927, kap=0.3875
acc=55.8333, pre=57.7544, rec=55.8333, f1=0.5515, kap=0.3375
acc=55.8333, pre=57.0223, rec=55.8333, f1=0.5531, kap=0.3375
acc=60.0000, pre=61.1667, rec=60.0000, f1=0.5991, kap=0.4000
acc=55.8333, pre=57.4981, rec=55.8333, f1=0.5527, kap=0.3375
acc=56.6667, pre=57.9521, rec=56.6667, f1=0.5629, kap=0.3500
acc=56.6667, pre=57.8755, rec=56.6667, f1=0.5631, kap=0.3500
acc=56.6667, pre=57.8755, rec=56.6667, f1=0.5631, kap=0.3500
acc=56.6667, pre=57.9521, rec=56.6667, f1=0.5629, kap=0.3500
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=59.1825, rec=57.5000, f1=0.5705, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=56.6667, pre=57.8348, rec=56.6667, f1=0.5606, kap=0.3500
acc=57.5000, pre=58.6814, rec=57.5000, f1=0.5700, kap=0.3625
acc=56.6667, pre=57.8348, rec=56.6667, f1=0.5606, kap=0.3500
acc=57.5000, pre=59.0954, rec=57.5000, f1=0.5696, kap=0.3625
acc=56.6667, pre=57.8348, rec=56.6667, f1=0.5606, kap=0.3500
acc=56.6667, pre=57.8348, rec=56.6667, f1=0.5606, kap=0.3500
acc=56.6667, pre=57.8348, rec=56.6667, f1=0.5606, kap=0.3500
acc=57.5000, pre=59.0954, rec=57.5000, f1=0.5696, kap=0.3625
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=57.5000, pre=59.0954, rec=57.5000, f1=0.5696, kap=0.3625
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=57.5000, pre=59.0954, rec=57.5000, f1=0.5696, kap=0.3625
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
acc=58.3333, pre=59.9240, rec=58.3333, f1=0.5790, kap=0.3750
