acc=45.8333, pre=41.9355, rec=21.6667, f1=0.2857, kap=-0.0833
acc=64.1667, pre=60.0000, rec=85.0000, f1=0.7034, kap=0.2833
acc=65.8333, pre=60.9195, rec=88.3333, f1=0.7211, kap=0.3167
acc=65.8333, pre=61.1765, rec=86.6667, f1=0.7172, kap=0.3167
acc=70.0000, pre=64.2857, rec=90.0000, f1=0.7500, kap=0.4000
acc=71.6667, pre=67.1053, rec=85.0000, f1=0.7500, kap=0.4333
acc=71.6667, pre=68.5714, rec=80.0000, f1=0.7385, kap=0.4333
acc=64.1667, pre=64.9123, rec=61.6667, f1=0.6325, kap=0.2833
acc=70.0000, pre=66.6667, rec=80.0000, f1=0.7273, kap=0.4000
acc=56.6667, pre=61.1111, rec=36.6667, f1=0.4583, kap=0.1333
acc=65.0000, pre=64.5161, rec=66.6667, f1=0.6557, kap=0.3000
acc=61.6667, pre=61.6667, rec=61.6667, f1=0.6167, kap=0.2333
acc=57.5000, pre=60.0000, rec=45.0000, f1=0.5143, kap=0.1500
acc=72.5000, pre=68.4932, rec=83.3333, f1=0.7519, kap=0.4500
acc=69.1667, pre=66.6667, rec=76.6667, f1=0.7132, kap=0.3833
acc=58.3333, pre=62.5000, rec=41.6667, f1=0.5000, kap=0.1667
acc=71.6667, pre=73.2143, rec=68.3333, f1=0.7069, kap=0.4333
acc=71.6667, pre=70.9677, rec=73.3333, f1=0.7213, kap=0.4333
acc=70.0000, pre=68.7500, rec=73.3333, f1=0.7097, kap=0.4000
acc=55.0000, pre=57.5000, rec=38.3333, f1=0.4600, kap=0.1000
acc=74.1667, pre=71.0145, rec=81.6667, f1=0.7597, kap=0.4833
acc=56.6667, pre=61.1111, rec=36.6667, f1=0.4583, kap=0.1333
acc=74.1667, pre=71.6418, rec=80.0000, f1=0.7559, kap=0.4833
acc=67.5000, pre=69.8113, rec=61.6667, f1=0.6549, kap=0.3500
acc=74.1667, pre=74.5763, rec=73.3333, f1=0.7395, kap=0.4833
acc=72.5000, pre=74.5455, rec=68.3333, f1=0.7130, kap=0.4500
acc=75.8333, pre=73.8462, rec=80.0000, f1=0.7680, kap=0.5167
acc=75.0000, pre=75.0000, rec=75.0000, f1=0.7500, kap=0.5000
acc=75.0000, pre=72.7273, rec=80.0000, f1=0.7619, kap=0.5000
acc=73.3333, pre=75.0000, rec=70.0000, f1=0.7241, kap=0.4667
acc=72.5000, pre=74.5455, rec=68.3333, f1=0.7130, kap=0.4500
acc=75.8333, pre=74.6032, rec=78.3333, f1=0.7642, kap=0.5167
acc=71.6667, pre=74.0741, rec=66.6667, f1=0.7018, kap=0.4333
