acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=50.0000, pre=50.0000, rec=100.0000, f1=0.6667, kap=0.0000
acc=61.6667, pre=57.2917, rec=91.6667, f1=0.7051, kap=0.2333
acc=61.6667, pre=57.6087, rec=88.3333, f1=0.6974, kap=0.2333
acc=58.3333, pre=55.3191, rec=86.6667, f1=0.6753, kap=0.1667
acc=60.8333, pre=57.4713, rec=83.3333, f1=0.6803, kap=0.2167
acc=60.0000, pre=57.5000, rec=76.6667, f1=0.6571, kap=0.2000
acc=58.3333, pre=56.5789, rec=71.6667, f1=0.6324, kap=0.1667
acc=58.3333, pre=56.4103, rec=73.3333, f1=0.6377, kap=0.1667
acc=55.8333, pre=54.5455, rec=70.0000, f1=0.6131, kap=0.1167
acc=52.5000, pre=51.8519, rec=70.0000, f1=0.5957, kap=0.0500
acc=48.3333, pre=48.7179, rec=63.3333, f1=0.5507, kap=-0.0333
acc=44.1667, pre=45.5696, rec=60.0000, f1=0.5180, kap=-0.1167
acc=52.5000, pre=52.0000, rec=65.0000, f1=0.5778, kap=0.0500
acc=50.8333, pre=50.7246, rec=58.3333, f1=0.5426, kap=0.0167
acc=53.3333, pre=52.7778, rec=63.3333, f1=0.5758, kap=0.0667
acc=53.3333, pre=53.0303, rec=58.3333, f1=0.5556, kap=0.0667
acc=54.1667, pre=53.6232, rec=61.6667, f1=0.5736, kap=0.0833
acc=55.0000, pre=54.2857, rec=63.3333, f1=0.5846, kap=0.1000
acc=55.0000, pre=54.4118, rec=61.6667, f1=0.5781, kap=0.1000
acc=55.8333, pre=55.0725, rec=63.3333, f1=0.5891, kap=0.1167
acc=54.1667, pre=53.4247, rec=65.0000, f1=0.5865, kap=0.0833
acc=58.3333, pre=57.5758, rec=63.3333, f1=0.6032, kap=0.1667
acc=57.5000, pre=56.5217, rec=65.0000, f1=0.6047, kap=0.1500
acc=58.3333, pre=57.3529, rec=65.0000, f1=0.6094, kap=0.1667
acc=60.0000, pre=59.3750, rec=63.3333, f1=0.6129, kap=0.2000
acc=60.0000, pre=59.0909, rec=65.0000, f1=0.6190, kap=0.2000
acc=60.8333, pre=59.4203, rec=68.3333, f1=0.6357, kap=0.2167
