acc=34.1667, pre=22.6956, rec=37.9167, f1=0.2837, kap=0.0573
acc=35.8333, pre=24.2842, rec=40.2083, f1=0.2991, kap=0.0884
acc=35.0000, pre=23.7867, rec=39.1667, f1=0.2924, kap=0.0766
acc=38.3333, pre=26.5617, rec=43.3333, f1=0.3210, kap=0.1280
acc=42.5000, pre=62.1230, rec=47.2222, f1=0.3729, kap=0.1838
acc=50.0000, pre=64.6039, rec=53.7500, f1=0.4777, kap=0.2817
acc=50.8333, pre=58.2143, rec=53.5417, f1=0.4958, kap=0.2869
acc=58.3333, pre=62.0115, rec=59.0972, f1=0.5830, kap=0.3857
acc=62.5000, pre=64.8148, rec=62.9861, f1=0.6213, kap=0.4444
acc=65.0000, pre=66.1757, rec=64.7222, f1=0.6450, kap=0.4785
acc=66.6667, pre=68.4494, rec=66.8056, f1=0.6641, kap=0.5045
acc=75.0000, pre=73.5612, rec=73.6806, f1=0.7353, kap=0.6215
acc=73.3333, pre=70.2271, rec=70.0694, f1=0.6868, kap=0.5897
acc=70.8333, pre=69.0677, rec=68.9583, f1=0.6757, kap=0.5570
acc=80.0000, pre=81.4679, rec=76.3889, f1=0.7509, kap=0.6902
acc=85.8333, pre=87.6543, rec=82.9861, f1=0.8304, kap=0.7809
acc=85.8333, pre=86.6707, rec=83.3333, f1=0.8343, kap=0.7815
acc=86.6667, pre=86.8687, rec=84.3750, f1=0.8461, kap=0.7945
acc=90.0000, pre=91.8786, rec=87.8472, f1=0.8845, kap=0.8459
acc=92.5000, pre=93.6819, rec=90.9722, f1=0.9159, kap=0.8849
acc=87.5000, pre=86.8108, rec=86.3194, f1=0.8649, kap=0.8092
acc=83.3333, pre=82.2515, rec=82.1528, f1=0.8217, kap=0.7460
acc=87.5000, pre=87.4190, rec=85.7639, f1=0.8612, kap=0.8080
acc=88.3333, pre=91.4597, rec=85.4167, f1=0.8604, kap=0.8188
acc=90.8333, pre=91.5885, rec=88.8889, f1=0.8932, kap=0.8592
acc=88.3333, pre=87.4045, rec=87.5000, f1=0.8734, kap=0.8226
acc=90.8333, pre=91.5821, rec=89.2361, f1=0.8989, kap=0.8591
acc=92.5000, pre=93.7322, rec=90.6250, f1=0.9125, kap=0.8847
acc=88.3333, pre=88.1046, rec=87.3611, f1=0.8767, kap=0.8219
acc=90.0000, pre=90.3479, rec=88.0556, f1=0.8854, kap=0.8463
acc=90.8333, pre=92.4714, rec=88.5417, f1=0.8907, kap=0.8589
acc=89.1667, pre=92.1980, rec=86.4583, f1=0.8726, kap=0.8319
acc=87.5000, pre=87.3828, rec=85.4167, f1=0.8555, kap=0.8080
acc=88.3333, pre=88.7372, rec=86.1111, f1=0.8632, kap=0.8207
acc=89.1667, pre=91.2998, rec=86.4583, f1=0.8682, kap=0.8328
acc=88.3333, pre=89.5952, rec=85.7639, f1=0.8603, kap=0.8201
acc=90.0000, pre=90.9059, rec=87.8472, f1=0.8823, kap=0.8463
acc=85.8333, pre=84.7244, rec=85.0694, f1=0.8465, kap=0.7854
acc=85.0000, pre=85.1259, rec=85.4167, f1=0.8434, kap=0.7754
acc=86.6667, pre=85.6029, rec=85.9722, f1=0.8572, kap=0.7978
acc=90.0000, pre=89.2160, rec=89.0972, f1=0.8908, kap=0.8478
acc=85.8333, pre=84.6866, rec=84.5833, f1=0.8454, kap=0.7841
acc=88.3333, pre=87.4074, rec=87.5000, f1=0.8729, kap=0.8228
acc=90.0000, pre=90.3458, rec=88.1944, f1=0.8860, kap=0.8464
acc=92.5000, pre=92.9630, rec=90.9722, f1=0.9142, kap=0.8851
acc=90.0000, pre=91.5404, rec=87.8472, f1=0.8857, kap=0.8456
acc=90.0000, pre=89.4300, rec=88.8889, f1=0.8897, kap=0.8475
acc=88.3333, pre=89.5952, rec=85.7639, f1=0.8603, kap=0.8201
acc=90.0000, pre=91.9485, rec=87.5000, f1=0.8802, kap=0.8456
