acc=30.0000, pre=18.3306, rec=30.0000, f1=0.2099, kap=-0.0500
acc=35.0000, pre=23.5875, rec=35.0000, f1=0.2747, kap=0.0250
acc=40.8333, pre=27.3065, rec=40.8333, f1=0.3269, kap=0.1125
acc=36.6667, pre=24.6623, rec=36.6667, f1=0.2925, kap=0.0500
acc=36.6667, pre=57.5281, rec=36.6667, f1=0.3043, kap=0.0500
acc=27.5000, pre=27.6304, rec=27.5000, f1=0.2398, kap=-0.0875
acc=30.8333, pre=33.5105, rec=30.8333, f1=0.2649, kap=-0.0375
acc=35.0000, pre=31.0960, rec=35.0000, f1=0.3191, kap=0.0250
acc=34.1667, pre=30.2111, rec=34.1667, f1=0.3098, kap=0.0125
acc=35.0000, pre=30.9204, rec=35.0000, f1=0.3150, kap=0.0250
acc=37.5000, pre=34.2288, rec=37.5000, f1=0.3434, kap=0.0625
acc=39.1667, pre=38.4566, rec=39.1667, f1=0.3712, kap=0.0875
acc=44.1667, pre=44.6604, rec=44.1667, f1=0.4278, kap=0.1625
acc=41.6667, pre=42.1512, rec=41.6667, f1=0.4102, kap=0.1250
acc=47.5000, pre=49.7783, rec=47.5000, f1=0.4770, kap=0.2125
acc=49.1667, pre=51.1385, rec=49.1667, f1=0.4934, kap=0.2375
acc=45.8333, pre=46.5100, rec=45.8333, f1=0.4567, kap=0.1875
acc=44.1667, pre=44.5826, rec=44.1667, f1=0.4332, kap=0.1625
acc=45.0000, pre=45.2277, rec=45.0000, f1=0.4434, kap=0.1750
acc=44.1667, pre=44.9879, rec=44.1667, f1=0.4375, kap=0.1625
acc=46.6667, pre=47.5816, rec=46.6667, f1=0.4658, kap=0.2000
acc=47.5000, pre=48.3392, rec=47.5000, f1=0.4737, kap=0.2125
acc=47.5000, pre=48.3392, rec=47.5000, f1=0.4737, kap=0.2125
acc=50.8333, pre=53.4134, rec=50.8333, f1=0.5072, kap=0.2625
acc=48.3333, pre=49.7531, rec=48.3333, f1=0.4822, kap=0.2250
acc=56.6667, pre=65.7524, rec=56.6667, f1=0.5679, kap=0.3500
acc=53.3333, pre=61.4778, rec=53.3333, f1=0.5333, kap=0.3000
acc=52.5000, pre=56.7865, rec=52.5000, f1=0.5262, kap=0.2875
acc=55.8333, pre=58.5926, rec=55.8333, f1=0.5589, kap=0.3375
acc=56.6667, pre=60.7308, rec=56.6667, f1=0.5683, kap=0.3500
acc=58.3333, pre=68.5876, rec=58.3333, f1=0.5841, kap=0.3750
acc=60.8333, pre=70.6566, rec=60.8333, f1=0.6060, kap=0.4125
acc=60.0000, pre=67.4421, rec=60.0000, f1=0.6005, kap=0.4000
acc=62.5000, pre=68.0249, rec=62.5000, f1=0.6282, kap=0.4375
acc=67.5000, pre=71.8158, rec=67.5000, f1=0.6819, kap=0.5125
acc=65.0000, pre=66.7031, rec=65.0000, f1=0.6534, kap=0.4750
acc=70.0000, pre=74.0014, rec=70.0000, f1=0.7050, kap=0.5500
acc=67.5000, pre=73.2285, rec=67.5000, f1=0.6805, kap=0.5125
acc=65.0000, pre=71.0638, rec=65.0000, f1=0.6572, kap=0.4750
acc=74.1667, pre=76.8808, rec=74.1667, f1=0.7448, kap=0.6125
acc=72.5000, pre=74.6429, rec=72.5000, f1=0.7283, kap=0.5875
acc=71.6667, pre=73.2080, rec=71.6667, f1=0.7201, kap=0.5750
acc=73.3333, pre=75.6054, rec=73.3333, f1=0.7368, kap=0.6000
acc=74.1667, pre=76.9360, rec=74.1667, f1=0.7455, kap=0.6125
acc=75.8333, pre=77.7984, rec=75.8333, f1=0.7612, kap=0.6375
acc=70.8333, pre=71.0067, rec=70.8333, f1=0.7041, kap=0.5625
