acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=33.3333, pre=11.1111, rec=33.3333, f1=0.1667, kap=0.0000
acc=36.6667, pre=55.5657, rec=36.6667, f1=0.2352, kap=0.0500
acc=54.1667, pre=65.8173, rec=54.1667, f1=0.4960, kap=0.3125
acc=60.8333, pre=65.4348, rec=60.8333, f1=0.5743, kap=0.4125
acc=66.6667, pre=67.7919, rec=66.6667, f1=0.6457, kap=0.5000
acc=69.1667, pre=68.4831, rec=69.1667, f1=0.6748, kap=0.5375
acc=69.1667, pre=68.1521, rec=69.1667, f1=0.6751, kap=0.5375
acc=74.1667, pre=75.3929, rec=74.1667, f1=0.7234, kap=0.6125
acc=74.1667, pre=76.2861, rec=74.1667, f1=0.7260, kap=0.6125
acc=75.0000, pre=77.0375, rec=75.0000, f1=0.7362, kap=0.6250
acc=75.8333, pre=78.1637, rec=75.8333, f1=0.7484, kap=0.6375
acc=77.5000, pre=82.0202, rec=77.5000, f1=0.7617, kap=0.6625
acc=76.6667, pre=82.2183, rec=76.6667, f1=0.7603, kap=0.6500
acc=71.6667, pre=75.8825, rec=71.6667, f1=0.7046, kap=0.5750
acc=72.5000, pre=79.2814, rec=72.5000, f1=0.7209, kap=0.5875
acc=63.3333, pre=76.3533, rec=63.3333, f1=0.6168, kap=0.4500
acc=65.8333, pre=77.0370, rec=65.8333, f1=0.6477, kap=0.4875
acc=72.5000, pre=78.0309, rec=72.5000, f1=0.7169, kap=0.5875
acc=75.0000, pre=76.7721, rec=75.0000, f1=0.7435, kap=0.6250
acc=77.5000, pre=78.7567, rec=77.5000, f1=0.7668, kap=0.6625
acc=79.1667, pre=79.6006, rec=79.1667, f1=0.7862, kap=0.6875
acc=77.5000, pre=79.1111, rec=77.5000, f1=0.7659, kap=0.6625
acc=77.5000, pre=78.0375, rec=77.5000, f1=0.7672, kap=0.6625
acc=75.0000, pre=75.4762, rec=75.0000, f1=0.7452, kap=0.6250
acc=75.0000, pre=75.8658, rec=75.0000, f1=0.7442, kap=0.6250
acc=75.8333, pre=76.2296, rec=75.8333, f1=0.7534, kap=0.6375
acc=81.6667, pre=83.2255, rec=81.6667, f1=0.8206, kap=0.7250
acc=76.6667, pre=77.3810, rec=76.6667, f1=0.7629, kap=0.6500
acc=74.1667, pre=74.7443, rec=74.1667, f1=0.7365, kap=0.6125
acc=76.6667, pre=77.0168, rec=76.6667, f1=0.7626, kap=0.6500
acc=80.8333, pre=81.0743, rec=80.8333, f1=0.8089, kap=0.7125
acc=77.5000, pre=79.1958, rec=77.5000, f1=0.7785, kap=0.6625
acc=76.6667, pre=77.3810, rec=76.6667, f1=0.7629, kap=0.6500
acc=81.6667, pre=81.6527, rec=81.6667, f1=0.8160, kap=0.7250
acc=84.1667, pre=84.4410, rec=84.1667, f1=0.8418, kap=0.7625
acc=79.1667, pre=79.6042, rec=79.1667, f1=0.7905, kap=0.6875
acc=77.5000, pre=78.6814, rec=77.5000, f1=0.7735, kap=0.6625
acc=74.1667, pre=75.7229, rec=74.1667, f1=0.7356, kap=0.6125
acc=73.3333, pre=74.9979, rec=73.3333, f1=0.7256, kap=0.6000
acc=80.0000, pre=80.6244, rec=80.0000, f1=0.7989, kap=0.7000
acc=85.0000, pre=85.1461, rec=85.0000, f1=0.8499, kap=0.7750
acc=85.8333, pre=86.6165, rec=85.8333, f1=0.8595, kap=0.7875
acc=85.0000, pre=85.7801, rec=85.0000, f1=0.8511, kap=0.7750
acc=80.8333, pre=82.5926, rec=80.8333, f1=0.8095, kap=0.7125
acc=85.0000, pre=86.2944, rec=85.0000, f1=0.8514, kap=0.7750
acc=80.8333, pre=83.2740, rec=80.8333, f1=0.8091, kap=0.7125
acc=83.3333, pre=85.1984, rec=83.3333, f1=0.8346, kap=0.7500
acc=84.1667, pre=86.1290, rec=84.1667, f1=0.8434, kap=0.7625
acc=82.5000, pre=85.5742, rec=82.5000, f1=0.8259, kap=0.7375
