acc=20.8333, pre=8.5911, rec=20.8333, f1=0.1217, kap=-0.1652
acc=22.5000, pre=8.9109, rec=22.5000, f1=0.1277, kap=-0.1444
acc=22.5000, pre=14.9040, rec=24.5833, f1=0.1849, kap=-0.1196
acc=25.0000, pre=16.6528, rec=28.3333, f1=0.2090, kap=-0.0706
acc=26.6667, pre=17.8571, rec=30.0000, f1=0.2238, kap=-0.0510
acc=24.1667, pre=15.4167, rec=25.8333, f1=0.1907, kap=-0.1008
acc=26.6667, pre=47.5961, rec=27.2222, f1=0.2055, kap=-0.0740
acc=28.3333, pre=49.3146, rec=29.1667, f1=0.2352, kap=-0.0488
acc=32.5000, pre=53.5238, rec=34.5833, f1=0.2865, kap=0.0194
acc=31.6667, pre=52.3617, rec=33.1944, f1=0.2821, kap=0.0032
acc=39.1667, pre=58.1212, rec=42.5694, f1=0.3567, kap=0.1212
acc=43.3333, pre=59.1883, rec=46.0417, f1=0.4176, kap=0.1820
acc=45.8333, pre=60.3324, rec=48.4722, f1=0.4479, kap=0.2169
acc=44.1667, pre=59.7778, rec=46.9444, f1=0.4302, kap=0.1960
acc=43.3333, pre=60.6838, rec=46.8750, f1=0.4277, kap=0.1943
acc=45.8333, pre=61.6487, rec=49.0972, f1=0.4565, kap=0.2268
acc=45.0000, pre=57.7060, rec=48.4722, f1=0.4442, kap=0.2149
acc=55.0000, pre=59.6871, rec=57.0139, f1=0.5493, kap=0.3420
acc=50.8333, pre=57.7658, rec=53.1250, f1=0.5088, kap=0.2834
acc=54.1667, pre=61.2144, rec=56.3194, f1=0.5424, kap=0.3298
acc=50.8333, pre=55.2225, rec=51.9444, f1=0.5108, kap=0.2764
acc=46.6667, pre=56.0211, rec=47.4306, f1=0.4686, kap=0.2112
acc=51.6667, pre=59.3603, rec=53.3333, f1=0.5181, kap=0.2898
acc=57.5000, pre=62.1261, rec=59.0972, f1=0.5772, kap=0.3740
acc=57.5000, pre=63.1944, rec=59.2361, f1=0.5772, kap=0.3750
acc=53.3333, pre=55.3408, rec=54.3750, f1=0.5336, kap=0.3086
acc=59.1667, pre=64.5772, rec=62.4306, f1=0.5886, kap=0.4058
acc=59.1667, pre=62.3212, rec=60.1389, f1=0.5926, kap=0.3961
acc=56.6667, pre=59.6618, rec=57.5694, f1=0.5678, kap=0.3586
acc=57.5000, pre=75.0250, rec=55.9722, f1=0.5412, kap=0.3539
acc=59.1667, pre=62.3214, rec=60.3472, f1=0.5928, kap=0.3966
acc=53.3333, pre=52.1230, rec=54.7917, f1=0.5226, kap=0.3035
acc=54.1667, pre=72.3021, rec=52.0139, f1=0.4890, kap=0.3014
acc=55.8333, pre=57.1694, rec=54.8611, f1=0.5507, kap=0.3336
acc=60.8333, pre=64.3053, rec=60.6250, f1=0.6059, kap=0.4120
acc=58.3333, pre=63.1288, rec=56.5278, f1=0.5604, kap=0.3666
acc=60.0000, pre=61.9318, rec=60.9722, f1=0.6001, kap=0.4059
acc=58.3333, pre=60.1010, rec=60.6250, f1=0.5803, kap=0.3857
acc=56.6667, pre=57.3975, rec=58.7500, f1=0.5637, kap=0.3580
acc=55.8333, pre=56.7130, rec=57.1528, f1=0.5567, kap=0.3441
acc=64.1667, pre=63.9258, rec=65.9722, f1=0.6398, kap=0.4643
acc=61.6667, pre=73.6598, rec=58.8194, f1=0.5696, kap=0.4113
acc=54.1667, pre=54.3574, rec=54.3750, f1=0.5387, kap=0.3136
acc=60.0000, pre=65.0927, rec=62.4306, f1=0.6014, kap=0.4151
acc=62.5000, pre=70.7915, rec=65.6250, f1=0.6269, kap=0.4561
acc=55.8333, pre=66.2791, rec=58.1250, f1=0.5480, kap=0.3526
acc=60.0000, pre=63.3318, rec=60.3472, f1=0.5985, kap=0.4064
acc=55.8333, pre=58.0783, rec=55.9028, f1=0.5558, kap=0.3419
acc=65.8333, pre=67.1673, rec=66.6667, f1=0.6599, kap=0.4866
acc=62.5000, pre=65.7937, rec=62.2917, f1=0.6194, kap=0.4380
acc=61.6667, pre=63.6168, rec=63.0556, f1=0.6167, kap=0.4321
acc=60.0000, pre=69.0522, rec=62.7083, f1=0.5956, kap=0.4179
acc=60.8333, pre=67.5205, rec=64.1667, f1=0.6034, kap=0.4305
acc=59.1667, pre=66.9326, rec=62.0139, f1=0.5850, kap=0.4049
